comp,size,complexity,change_churn,total,minor,major,ownership,review_rate,review_churn_rate,self_reviews,too_quick,little_discussion,bugs
qtbase.config.tests/unix/dbus,5,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/directfb,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/doubleformat,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/egl,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/egl4gles1,8,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/endian,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/evdev,12,1,63,3,0,3,0.333333333,1,1,1,1,0,0
qtbase.config.tests/unix/eventfd,8,1,51,1,0,1,1,1,1,0,0,0,0
qtbase.config.tests/unix/floatmath,13,2,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/fontconfig,8,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/freetype,6,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/unix/getaddrinfo,8,2,52,3,0,3,0.333333333,1,1,0,2,0,0
qtbase.config.tests/unix/getifaddrs,7,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/unix/glib,13,2,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/gnu-libiconv,10,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/gstreamer,3,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/ibase,4,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/icd,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/iconv,10,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/icu,9,2,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/inotify,7,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/unix/iodbc,4,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/ipv6,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/ipv6ifname,7,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/iwmmxt,5,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/javascriptcore-jit,4,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/unix/libjpeg,8,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/libmng,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/libpng,6,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/libtiff,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/libudev,6,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/mips_dsp,6,1,99,3,0,3,0.333333333,1,1,0,1,0,0
qtbase.config.tests/unix/mips_dspr2,8,1,101,3,0,3,0.333333333,1,1,0,1,0,0
qtbase.config.tests/unix/mmx,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/mremap,5,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/mysql,4,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/neon,7,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/unix/nis,6,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/unix/oci,4,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/unix/odbc,4,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/unix/opengldesktop,9,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/opengles1,7,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/unix/opengles2,6,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/unix/openssl,3,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/openvg,7,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/unix/pcre,4,1,48,1,0,1,1,1,1,0,1,0,0
qtbase.config.tests/unix/psql,6,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/ptrsize,13,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/pulseaudio,7,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/unix/shivavg,8,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/slog2,5,1,48,1,0,1,1,1,1,0,0,0,0
qtbase.config.tests/unix/sqlite,4,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/sqlite2,4,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/unix/sse,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/sse2,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/sse3,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/sse4_1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/sse4_2,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/ssse3,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/stdint,4,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/stl,84,23,50,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/unix/tds,4,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/tslib,5,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/zlib,10,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/x11/fontconfig,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/x11/glxfbconfig,6,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/x11/mitshm,13,2,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/x11/notype,4,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/x11/opengl,6,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/x11/sm,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/x11/xcursor,8,1,50,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/x11/xfixes,6,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/x11/xinerama,6,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/x11/xinput,6,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/x11/xinput2,20,3,50,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/x11/xkb,22,1,50,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/x11/xlib,6,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/x11/xrandr,6,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/x11/xrender,6,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/x11/xshape,6,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/x11/xsync,11,1,52,2,0,2,0.5,1,1,1,1,0,0
