comp,size,complexity,change_churn,total,minor,major,ownership,review_rate,review_churn_rate,self_reviews,too_quick,little_discussion,bugs
qtbase.config.tests/unix/mips_dspr2,8,1,99,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/mmx,0,0,57,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/unix/mremap,5,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/unix/mysql,4,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/unix/neon,7,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/nis,6,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/oci,4,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/odbc,4,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/unix/opengldesktop,9,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/unix/opengles1,7,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/opengles2,6,1,56,2,0,2,0.75,1,1,3,4,1,0
qtbase.config.tests/unix/openssl,3,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/openvg,7,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/unix/pcre,4,1,100,3,0,3,0.333333333,1,1,0,2,0,0
qtbase.config.tests/unix/psql,6,1,56,2,0,2,0.75,1,1,3,4,1,0
qtbase.config.tests/unix/ptrsize,13,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/pulseaudio,7,1,56,2,0,2,0.75,1,1,0,4,1,0
qtbase.config.tests/unix/shivavg,8,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/unix/slog2,5,1,48,1,0,1,1,1,1,0,0,0,0
qtbase.config.tests/unix/sqlite,4,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/sqlite2,4,1,56,2,0,2,0.75,1,1,0,4,1,0
qtbase.config.tests/unix/sse,0,0,58,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/unix/sse2,0,0,58,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/unix/sse3,0,0,57,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/unix/sse4_1,0,0,57,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/unix/sse4_2,0,0,57,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/unix/ssse3,0,0,57,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/unix/stdint,4,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/unix/stl,84,23,55,3,0,3,0.6,1,1,3,4,1,0
qtbase.config.tests/unix/tds,4,1,56,2,0,2,0.75,1,1,3,4,1,0
qtbase.config.tests/unix/tslib,5,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/unix/zlib,10,1,56,2,0,2,0.75,1,1,3,4,1,0
qtbase.config.tests/x11/fontconfig,0,0,67,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/x11/glxfbconfig,6,1,56,2,0,2,0.75,1,1,3,4,1,0
qtbase.config.tests/x11/mitshm,13,2,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/x11/notype,4,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/x11/opengl,6,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/x11/sm,0,0,55,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/x11/xcursor,8,1,54,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/x11/xfixes,6,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/x11/xinerama,6,1,56,2,0,2,0.75,1,1,0,4,1,0
qtbase.config.tests/x11/xinput,6,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/x11/xinput2,20,3,54,2,0,2,0.75,1,1,3,4,1,0
qtbase.config.tests/x11/xkb,22,1,54,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/x11/xlib,6,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/x11/xrandr,6,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/x11/xrender,6,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/x11/xshape,6,1,56,2,0,2,0.75,1,1,3,4,1,0
qtbase.config.tests/x11/xsync,11,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/x11/xvideo,7,1,56,2,0,2,0.75,1,1,3,4,1,0
qtbase.demos/affine,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/books,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/boxes,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/boxes/3rdparty,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/chip,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/composition,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/deform,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/embedded/digiflip,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/embedded/flickable,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/embedded/flightinfo,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/embedded/lightmaps,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/embedded/raycasting,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/embedded/styledemo,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/embeddeddialogs,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/gradients,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/interview,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/macmainwindow,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/mainwindow,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/pathstroke,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/shared,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/spreadsheet,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/sqlbrowser,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/sub-attaq,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/textedit,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/undo,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets,0,0,3749,2,0,2,0.571428571,0,0,0,0,0,0
qtbase.doc/src/snippets/brush,0,0,160,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/buffer,0,0,130,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/code,152,5,24051,20,12,8,0.307692308,1,1,2,4,1,1
qtbase.doc/src/snippets/customstyle,0,0,164,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/dialogs,0,0,274,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/dockwidgets,0,0,128,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/dragging,0,0,116,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/file,0,0,129,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/fileinfo,0,0,98,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/image,0,0,168,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/layouts,0,0,171,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/matrix,0,0,146,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/network,0,0,75,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/picture,0,0,157,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/pointer,9,2,18,2,0,2,0.75,1,1,2,4,1,0
qtbase.doc/src/snippets/polygon,0,0,118,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/printing-qprinter,0,0,148,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/process,0,0,82,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qdbusextratypes,0,0,72,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qdebug,0,0,79,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qdir-listfiles,0,0,68,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qdir-namefilters,0,0,71,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qelapsedtimer,0,0,117,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qfontdatabase,0,0,80,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qlistwidget-using,0,0,164,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qlogging,0,0,108,2,0,2,0.5,0,0,0,0,0,0
qtbase.doc/src/snippets/qmetaobject-invokable,0,0,185,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qprocess,0,0,72,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qprocess-environment,0,0,79,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qsignalmapper,0,0,145,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qsortfilterproxymodel-details,0,0,105,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qsplashscreen,0,0,69,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qstack,0,0,61,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qstackedlayout,0,0,95,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qstackedwidget,0,0,93,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qstatustipevent,0,0,88,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qstring,0,0,1151,4,0,4,0.5,0,0,0,0,0,0
qtbase.doc/src/snippets/qstringlist,0,0,191,3,0,3,0.6,0,0,0,0,0,0
qtbase.doc/src/snippets/qstringlistmodel,0,0,72,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qstyleoption,0,0,145,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qstyleplugin,0,0,103,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qtablewidget-resizing,0,0,121,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qtablewidget-using,0,0,156,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qtcast,0,0,85,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qtreewidget-using,0,0,236,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/qtreewidgetitemiterator-using,0,0,203,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/quiloader,30,4,36,2,0,2,0.75,1,1,1,4,1,0
qtbase.doc/src/snippets/qx11embedcontainer,18,2,18,2,0,2,0.75,1,1,2,4,1,0
qtbase.doc/src/snippets/qx11embedwidget,13,2,18,2,0,2,0.75,1,1,1,4,1,0
qtbase.doc/src/snippets/qxmlstreamwriter,0,0,82,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/separations,0,0,132,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/settings,0,0,190,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/shareddirmodel,0,0,87,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/sharedemployee,0,0,156,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/signalmapper,0,0,113,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/signalsandslots,0,0,279,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/splitter,0,0,90,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/splitterhandle,0,0,163,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/sqldatabase,0,0,567,3,0,3,0.6,0,0,0,0,0,0
qtbase.doc/src/snippets/streaming,0,0,114,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/styles,0,0,97,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/stylesheet,0,0,58,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/textblock-fragments,0,0,123,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/textdocument-css,0,0,65,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/textdocument-imagedrop,0,0,77,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/textdocument-listitemstyles,0,0,219,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/textdocument-lists,0,0,198,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/textdocument-resources,0,0,89,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/textdocument-tables,0,0,210,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/textdocument-texttable,0,0,90,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/threads,0,0,180,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/timeline,0,0,78,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/timers,0,0,84,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/transform,0,0,146,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/whatsthis,0,0,70,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/widget-mask,0,0,60,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/widgets-tutorial,0,0,62,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/xml/rsslisting,0,0,445,2,0,2,0.75,0,0,0,0,0,0
qtbase.doc/src/snippets/xml/simpleparse,0,0,93,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/animation/animatedtiles,0,0,264,3,0,3,0.6,0,0,0,0,0,0
qtbase.examples/animation/appchooser,0,0,181,3,0,3,0.6,0,0,0,0,0,0
qtbase.examples/animation/easing,0,0,431,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/animation/moveblocks,0,0,329,3,0,3,0.6,0,0,0,0,0,0
qtbase.examples/animation/states,0,0,291,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/animation/stickman,0,0,1633,3,0,3,0.666666667,0,0,0,0,0,0
qtbase.examples/animation/sub-attaq,0,0,3460,5,0,5,0.428571429,0,0,0,0,0,0
qtbase.examples/dbus/chat,121,16,244,1,0,1,1,1,1,0,0,0,0
qtbase.examples/dbus/complexpingpong,122,24,96,3,0,3,0.6,1,1,3,4,2,0
qtbase.examples/dbus/dbus-chat,0,0,690,6,0,6,0.333333333,0,0,0,0,0,0
qtbase.examples/dbus/listnames,38,6,18,2,0,2,0.75,1,1,2,4,1,0
qtbase.examples/dbus/pingpong,53,9,74,3,0,3,0.6,1,1,2,4,1,0
qtbase.examples/dbus/remotecontrolledcar/car,115,13,286,4,0,4,0.428571429,1,1,2,4,2,0
qtbase.examples/dbus/remotecontrolledcar/controller,55,8,275,4,0,4,0.428571429,1,1,3,4,2,0
qtbase.examples/desktop/screenshot,0,0,375,5,0,5,0.428571429,0,0,0,0,0,0
qtbase.examples/desktop/systray,0,0,896,2,0,2,0.666666667,0,0,0,0,0,0
qtbase.examples/dialogs/classwizard,0,0,675,4,0,4,0.5,0,0,0,0,0,0
qtbase.examples/dialogs/configdialog,0,0,482,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/dialogs/extension,0,0,263,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/dialogs/findfiles,0,0,408,3,0,3,0.6,0,0,0,0,0,0
qtbase.examples/dialogs/licensewizard,0,0,607,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/dialogs/sipdialog,0,0,255,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/dialogs/standarddialogs,0,0,652,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/dialogs/tabdialog,0,0,372,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/dialogs/trivialwizard,0,0,141,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/draganddrop/draggableicons,0,0,312,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/draganddrop/draggabletext,0,0,418,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/draganddrop/dropsite,0,0,506,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/draganddrop/fridgemagnets,0,0,521,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/draganddrop/puzzle,0,0,813,3,0,3,0.6,0,0,0,0,0,0
qtbase.examples/effects/blurpicker,0,0,455,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/effects/fademessage,0,0,271,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/effects/lighting,0,0,282,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/embedded/digiflip,295,39,54,2,0,2,0.75,1,1,2,4,1,0
qtbase.examples/embedded/flickable,376,70,162,2,0,2,0.75,1,1,0,4,1,0
qtbase.examples/embedded/flightinfo,270,43,70,3,0,3,0.6,1,1,2,4,1,0
qtbase.examples/embedded/lightmaps,491,70,387,4,0,4,0.5,1,1,1,4,1,0
qtbase.examples/embedded/raycasting,265,50,58,3,0,3,0.6,1,1,3,4,1,0
qtbase.examples/embedded/styledemo,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.examples/embedded/styleexample,70,11,164,2,0,2,0.75,1,1,2,4,1,0
qtbase.examples/gestures/imagegestures,257,44,90,2,0,2,0.75,1,1,1,4,1,0
qtbase.examples/graphicsview/anchorlayout,0,0,181,3,0,3,0.6,0,0,0,0,0,0
qtbase.examples/graphicsview/basicgraphicslayouts,0,0,430,2,0,2,0.75,0,0,0,0,0,0
qtbase.examples/graphicsview/boxes,0,0,3793,2,0,2,0.75,0,0,0,0,0,0
