comp,size,complexity,change_churn,total,minor,major,ownership,review_rate,review_churn_rate,self_reviews,too_quick,little_discussion,bugs
qtactiveqt.doc/src/snippets/code,0,0,956,4,0,4,0.5,0,0,0,0,0,0
qtactiveqt.examples/activeqt/comapp,155,18,18,2,0,2,0.75,1,1,1,1,2,0
qtactiveqt.examples/activeqt/dotnet/walkthrough,83,8,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/dotnet/wrapper,29,3,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/dotnet/wrapper/lib,72,9,108,2,0,2,0.75,1,1,1,1,2,0
qtactiveqt.examples/activeqt/hierarchy,86,9,54,2,0,2,0.75,1,1,1,1,2,0
qtactiveqt.examples/activeqt/menus,136,14,54,2,0,2,0.75,1,1,0,1,2,0
qtactiveqt.examples/activeqt/multiple,75,8,54,2,0,2,0.75,1,1,0,1,2,0
qtactiveqt.examples/activeqt/opengl,199,16,90,2,0,2,0.75,1,1,0,1,2,0
qtactiveqt.examples/activeqt/qutlook,216,31,58,3,0,3,0.6,1,1,1,2,3,0
qtactiveqt.examples/activeqt/simple,70,8,18,2,0,2,0.75,1,1,0,1,2,0
qtactiveqt.examples/activeqt/webbrowser,120,19,36,2,0,2,0.75,1,1,1,1,2,0
qtactiveqt.examples/activeqt/wrapper,100,27,18,2,0,2,0.75,1,1,1,1,2,0
qtactiveqt.src/activeqt/container,6293,1376,1709,17,9,8,0.184210526,1,1,7,7,8,1
qtactiveqt.src/activeqt/control,4819,1081,551,16,11,5,0.259259259,1,1,4,4,8,2
qtactiveqt.src/activeqt/doc/snippets,325,85,883,2,0,2,0.5,1,1,0,1,0,0
qtactiveqt.src/activeqt/shared,1258,311,753,11,0,11,0.2,1,1,3,3,4,1
qtactiveqt.src/tools/idc,264,63,54,2,0,2,0.75,1,1,1,1,2,0
qtactiveqt.tests/auto/cmake/test_modules/container,4,1,51,1,0,1,1,1,1,0,0,0,0
qtactiveqt.tests/auto/cmake/test_modules/server,11,2,60,1,0,1,1,1,1,1,0,0,0
qtactiveqt.tests/auto/dumpcpp,17,1,115,2,0,2,0.5,1,1,0,1,0,0
qtactiveqt.tests/auto/qaxobject,24,4,125,2,0,2,0.5,1,1,0,1,0,0
qtactiveqt.tools/dumpcpp,1360,259,847,9,0,9,0.1875,1,1,5,2,5,1
qtactiveqt.tools/dumpdoc,91,17,54,2,0,2,0.75,1,1,1,1,2,0
qtactiveqt.tools/idc,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.tools/testcon,1002,158,724,5,0,5,0.428571429,1,1,0,1,4,1
qtactiveqt.tools/testcon/scripts,82,0,56,2,0,2,0.75,1,1,1,1,2,0
qtbase.config.profiles/harmattan,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.profiles/harmattan/mkspecs/linux-g++-cross,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/arch,12,1,383,5,0,5,0.444444444,1,1,2,2,0,0
qtbase.config.tests/common/avx,8,1,107,2,0,2,0.666666667,1,1,1,1,0,0
qtbase.config.tests/common/avx2,9,1,109,2,0,2,0.666666667,1,1,1,1,0,0
qtbase.config.tests/common/c++11,1,1,103,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/common/sse2,6,1,102,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/common/sse3,8,1,107,2,0,2,0.666666667,1,1,1,1,0,0
qtbase.config.tests/common/sse4_1,8,1,105,2,0,2,0.666666667,1,1,0,1,0,0
qtbase.config.tests/common/sse4_2,8,1,109,2,0,2,0.666666667,1,1,0,1,0,0
qtbase.config.tests/common/ssse3,8,1,105,2,0,2,0.666666667,1,1,1,1,0,0
qtbase.config.tests/mac,0,0,105,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/mac/crc,0,0,114,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/qpa/directfb,4,1,99,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/qpa/egl,8,1,101,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/qpa/kms,7,1,106,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/qpa/linuxfb,9,1,105,2,0,2,0.5,1,1,1,2,1,0
qtbase.config.tests/qpa/wayland,0,0,52,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/qpa/xcb,6,1,77,5,0,5,0.428571429,1,1,2,5,1,0
qtbase.config.tests/qpa/xcb-glx,11,1,57,1,0,1,1,1,1,0,0,0,0
qtbase.config.tests/qpa/xcb-poll-for-queued-event,0,0,118,3,0,3,0.6,0,0,0,0,0,0
qtbase.config.tests/qpa/xcb-render,18,1,54,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/qpa/xcb-syslibs,7,1,66,1,0,1,1,1,1,0,1,0,0
qtbase.config.tests/qpa/xcb-xkb,7,1,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/qpa/xcb-xlib,6,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/qws/ahi,0,0,56,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/qws/directfb,0,0,56,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/qws/sound,0,0,55,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/qws/svgalib,0,0,57,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/symbian/audio,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/symbian/simple,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/3dnow,0,0,57,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/unix/alsa,3,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/unix/avx,0,0,57,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/unix/avx2,0,0,110,1,0,1,1,0,0,0,0,0,0
qtbase.config.tests/unix/c++11,0,0,108,2,0,2,0.666666667,0,0,0,0,0,0
qtbase.config.tests/unix/clock-gettime,6,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/clock-monotonic,6,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/unix/cups,6,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/db2,4,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/dbus,5,1,56,2,0,2,0.75,1,1,0,4,1,0
qtbase.config.tests/unix/directfb,0,0,102,2,0,2,0.5,0,0,0,0,0,0
qtbase.config.tests/unix/doubleformat,0,0,72,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/unix/egl,0,0,57,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/unix/egl4gles1,8,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/unix/endian,0,0,62,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/unix/evdev,12,1,120,3,0,3,0.333333333,1,1,0,1,0,0
qtbase.config.tests/unix/eventfd,8,1,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/floatmath,13,2,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/fontconfig,8,1,111,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/freetype,6,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/getaddrinfo,8,2,54,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/getifaddrs,7,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/unix/glib,13,2,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/gnu-libiconv,10,1,56,2,0,2,0.75,1,1,0,4,1,0
qtbase.config.tests/unix/gstreamer,3,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/ibase,4,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/unix/icd,0,0,57,2,0,2,0.5,0,0,0,0,0,0
qtbase.config.tests/unix/iconv,10,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/icu,9,2,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/inotify,7,1,56,2,0,2,0.75,1,1,3,4,1,0
qtbase.config.tests/unix/iodbc,4,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/ipv6,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/unix/ipv6ifname,7,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/unix/iwmmxt,5,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/unix/javascriptcore-jit,4,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/libjpeg,8,1,56,2,0,2,0.75,1,1,2,4,1,0
qtbase.config.tests/unix/libmng,0,0,58,2,0,2,0.666666667,0,0,0,0,0,0
qtbase.config.tests/unix/libpng,6,1,56,2,0,2,0.75,1,1,1,4,1,0
qtbase.config.tests/unix/libtiff,0,0,71,2,0,2,0.75,0,0,0,0,0,0
qtbase.config.tests/unix/libudev,6,1,99,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/unix/mips_dsp,6,1,97,2,0,2,0.5,1,1,0,1,0,0
